,Artifact/Evidence Required,Collected (Y/N),Notes,Change Status,Knox Validated,Screenshot Instruction,
1. Backup & Disaster Recovery (ISCP Requirements),,,,,,,
RDS/Database Backups,,,,,,,
1.01,Show RDS automated backup configuration and retention periods,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Maintenance & backups' tab, view 'Backup configuration'.",
1.02,Display recent backup snapshots with timestamps,,,,,Go to RDS service > Snapshots > View the list of snapshots with their creation timestamps.,
1.03,Demonstrate backup encryption status (should show AES-256),,,,,"Go to RDS service > Snapshots > Select a snapshot > Under 'Details' tab, find 'Encryption' status and algorithm.",
1.04,Show replication lag between primary and secondary AZ,,,,,"Go to RDS service > Databases > Select the relevant Multi-AZ DB instance > Under 'Monitoring' tab, view 'Replication Lag' metric (in CloudWatch or Grafana dashboard).",
1.05,Evidence of 24-hour snapshot frequency mentioned in DR plan,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Maintenance & backups' tab, view 'Backup window' and 'Backup retention period'.",
1.06,Show us-west-2 backup vault contents (referenced in RPO documentation),,,,,Switch to the 'us-west-2' region in AWS console > Go to AWS Backup service > Backup vaults > Select the relevant vault > View its protected resources.,
EBS Snapshots,,,,,,,
1.07,List of EBS snapshots with creation dates,,,,,"Go to EC2 service > Elastic Block Store > Snapshots > View the list of snapshots, including their 'Creation time'.",
1.08,Encryption status of snapshots,,,,,"Go to EC2 service > Elastic Block Store > Snapshots > Select a snapshot > Under 'Details' tab, find 'Encryption' status.",
1.09,Snapshot retention policies,,,,,Go to AWS Backup service > Backup plans > Select the relevant plan > View the 'Backup rules' for EBS.,
1.10,Evidence of automated snapshot scheduling,,,,,Go to AWS Backup service > Backup plans > Select the relevant plan > View the 'Backup rules' showing scheduling frequency.,
S3 Backup Storage,,,,,,,
1.11,Show S3 bucket used for backup storage in us-west region,,,,,Switch to the 'us-west' region in AWS console > Go to S3 service > Buckets > Identify and select the backup bucket.,
1.12,Bucket encryption configuration (at-rest encryption),,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Properties' tab > Scroll down to 'Default encryption'.,
1.13,Versioning configuration,,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Properties' tab > Scroll down to 'Bucket Versioning'.,
1.14,Replication rules (if applicable for cross-region),,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Management' tab > Scroll down to 'Replication rules'.,
1.15,Access logs and lifecycle policies,,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Properties' tab > Scroll down to 'Server access logging' and 'Lifecycle rules' under 'Management' tab.,
2. Multi-AZ Configuration (DR Requirements),,,,,,,
RDS Multi-AZ Setup,,,,,,,
2.01,Show Multi-AZ deployment configuration,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Configuration' tab, find 'Multi-AZ deployment'.",
2.02,Primary AZ: us-east-1a status,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Connectivity & security' tab, find 'Availability Zone' for the writer instance.",
2.03,Standby AZ: us-east-1b status,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Connectivity & security' tab, observe the Availability Zone of the reader/standby instance (if visible or implied by Multi-AZ).",
2.04,Automatic failover configuration,,,,,Go to RDS service > Databases > Select the relevant DB instance > Multi-AZ configuration inherently includes automatic failover. This can be confirmed via AWS documentation or the console showing Multi-AZ status.,
2.05,Replication status and lag metrics,,,,,"Go to RDS service > Databases > Select the relevant Multi-AZ DB instance > Under 'Monitoring' tab, view 'Replication Lag' and other replication metrics (in CloudWatch or Grafana).",
Application Infrastructure,,,,,,,
2.06,EC2 instances across both AZs,,,,,"Go to EC2 service > Instances > View the list of instances, checking their 'Availability Zone' column.",
2.07,ECS/Kubernetes cluster configuration across AZs,,,,,Go to ECS/EKS service > Clusters > Select the cluster > View the 'Infrastructure' or 'Nodes' tab to see worker nodes distributed across AZs.,
2.08,Load balancer distribution across AZs,,,,,"Go to EC2 service > Load Balancers > Select the relevant Load Balancer > Under 'Listeners and routing' tab, confirm target groups are routing to instances in multiple AZs or check 'Availability Zones' under 'Description'.",
3. Security & Encryption,,,,,,,
KMS (Key Management Service),,,,,,,
3.01,List of encryption keys,,,,,Go to KMS service > Customer managed keys > View the list of keys.,
3.02,Key policies and access controls,,,,,"Go to KMS service > Customer managed keys > Select a key > Under 'Key policy' tab, view the JSON policy.",
3.03,Key rotation configuration,,,,,"Go to KMS service > Customer managed keys > Select a key > Under 'Key policy' tab, find 'Key rotation' settings.",
3.04,"Keys used for RDS, EBS, and S3 encryption",,,,,Go to RDS/EBS/S3 service > Select an encrypted resource > View its properties/details to see the associated KMS key ARN.,
Data Encryption Evidence,,,,,,,
3.05,RDS encryption at rest (should be enabled),,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Configuration' tab, find 'Storage encryption'.",
3.06,EBS volume encryption status,,,,,"Go to EC2 service > Elastic Block Store > Volumes > View the list of volumes, checking the 'Encryption' column.",
3.07,S3 bucket encryption configuration,,,,,Go to S3 service > Buckets > Select the relevant bucket > Under 'Properties' tab > Scroll down to 'Default encryption'.,
3.08,TLS 1.2 configuration for data in transit,,,,,"Go to EC2 service > Load Balancers > Select an Application/Network Load Balancer > Under 'Listeners' tab, select a listener > View 'Security policy' to confirm TLS 1.2 is enforced.",
4. Networking & Access Control,,,,,,,
VPC Configuration,,,,,,,
4.01,VPC structure and subnets,,,,,Go to VPC service > Your VPCs > Select the relevant VPC > View 'Subnets' to see the associated subnets.,
4.02,Security group configurations controlling traffic between components,,,,,Go to EC2 service > Security Groups > Select relevant security groups > View 'Inbound rules' and 'Outbound rules'.,
4.03,ACL,,,,,Go to VPC service > Network ACLs > Select the relevant Network ACL > View its 'Inbound Rules' and 'Outbound Rules'.,
4.04,Private vs public subnet configuration,,,,,"Go to VPC service > Subnets > Select relevant subnets > Under 'Details' tab, check 'Main Route Table' and association with an Internet Gateway (for public) or NAT Gateway (for private outbound).",
WAF (Web Application Firewall),,,,,,,
4.05,WAF rules and configurations,,,,,"Go to WAF & Shield service > Web ACLs > Select the relevant Web ACL > Under 'Rules' tab, view the configured rules.",
4.06,Web ACLs attached to load balancers,,,,,"Go to WAF & Shield service > Web ACLs > Select the relevant Web ACL > Under 'Associated AWS resources' tab, verify attached load balancers.",
4.07,Traffic filtering policies,,,,,"Go to WAF & Shield service > Web ACLs > Select the relevant Web ACL > Under 'Rules' tab, inspect the conditions and actions of the rules.",
Load Balancer,,,,,,,
4.08,Elastic Load Balancer configuration,,,,,"Go to EC2 service > Load Balancers > Select the relevant Load Balancer > Under 'Description' tab, view its basic configuration.",
4.09,Health check settings,,,,,Go to EC2 service > Target Groups > Select the target group associated with the load balancer > Under 'Health checks' tab.,
4.10,SSL/TLS certificate configuration,,,,,"Go to EC2 service > Load Balancers > Select the relevant Load Balancer > Under 'Listeners' tab, select HTTPS listener > View its 'SSL certificate'.",
4.11,Target groups and routing rules,,,,,Go to EC2 service > Load Balancers > Select the relevant Load Balancer > Under 'Listeners' tab > Select a listener and view its 'Rules'.,
NAT Gateway,,,,,,,
4.12,NAT Gateway configuration for outbound traffic,,,,,"Go to VPC service > NAT Gateways > Select the relevant NAT Gateway > Under 'Details' tab, view its configuration and Elastic IP.",
4.13,Associated route tables,,,,,"Go to VPC service > Route Tables > Select the route table associated with private subnets > View its routes, specifically the default route pointing to the NAT Gateway.",
5. Monitoring & Logging (Compliance Requirements),,,,,,,
CloudTrail,,,,,,,
5.01,CloudTrail enabled and logging to S3,,,,,"Go to CloudTrail service > Trails > Select the relevant trail > Under 'General configuration', verify 'Logging' is enabled and 'S3 bucket' is configured.",
5.02,Log retention period,,,,,Go to S3 service > Buckets > Select the S3 bucket where CloudTrail logs are stored > Under 'Management' tab > View 'Lifecycle rules' for the bucket.,
5.03,Management events and data events being captured,,,,,"Go to CloudTrail service > Trails > Select the relevant trail > Under 'Event selectors', verify 'Management events' and 'Data events' are configured.",
5.04,Log file integrity validation enabled,,,,,"Go to CloudTrail service > Trails > Select the relevant trail > Under 'General configuration', verify 'Log file integrity validation' is enabled.",
5.05,Multi-region trail configuration,,,,,"Go to CloudTrail service > Trails > Select the relevant trail > Under 'General configuration', verify 'Apply trail to all regions' is enabled.",
CloudWatch,,,,,,,
5.06,Monitoring alarms configured (especially for AZ failure detection),,,,,"Go to CloudWatch service > Alarms > View the list of alarms, specifically those configured for service health or AZ-specific metrics.",
5.07,Log groups for application and system logs,,,,,Go to CloudWatch service > Log groups > View the list of log groups.,
5.08,Metrics dashboards,,,,,"Go to CloudWatch service > Dashboards > Select relevant dashboards to show key metrics.
Grafana > Dashboards > AWS > Customer Name > Select Service ",
5.09,SNS notifications for critical alerts,,,,,"Go to CloudWatch service > Alarms > Select a critical alarm > Under 'Actions' tab, view configured SNS topic notifications.
Amazon SNS > Topics",
6. Storage Components,,,,,,,
S3 Buckets,,,,,,,
6.01,List of all S3 buckets used by the system,,,,,Go to S3 service > Buckets > View the list of all buckets.,
6.02,Access control policies (should show public access blocked where appropriate),,,,,Go to S3 service > Buckets > Select a bucket > Under 'Permissions' tab > View 'Block public access' settings and 'Bucket policy'.,
6.03,Encryption configuration,,,,,Go to S3 service > Buckets > Select a bucket > Under 'Properties' tab > Scroll down to 'Default encryption'.,
6.04,Versioning status,,,,,Go to S3 service > Buckets > Select a bucket > Under 'Properties' tab > Scroll down to 'Bucket Versioning'.,
6.05,Access logging enabled,,,,,Go to S3 service > Buckets > Select a bucket > Under 'Properties' tab > Scroll down to 'Server access logging'.,
6.06,Lifecycle policies,,,,,Go to S3 service > Buckets > Select a bucket > Under 'Management' tab > Scroll down to 'Lifecycle rules'.,
7. Compute Resources,,,,,,,
ECS/Kubernetes,,,,,,,
7.01,Cluster configuration,,,,,Go to ECS/EKS service > Clusters > Select the cluster > View the 'Configuration' or 'Overview' tabs.,
7.02,Task definitions,,,,,Go to ECS service > Task Definitions > View the list of task definitions.,
7.03,Service configurations,,,,,"Go to ECS/EKS service > Clusters > Select the cluster > Under 'Services and Task' tab, select a service and view its configuration details.",
7.04,Container image registry access,,,,,"Go to IAM service > Roles > Select the ECS Task Execution Role or relevant EC2 Instance Profile > Under 'Permissions' tab, view attached policies for ECR access.",
7.05,Auto-scaling policies,,,,,"Go to ECS/EKS service > Clusters > Select the cluster > Under 'Services and Tasks' tab, select a service > View its 'Auto Scaling' tab.",
EC2 (if applicable),,,,,,,
7.06,Instance types and configurations,,,,,"Go to EC2 service > Instances > View the list of instances, checking 'Instance type' and 'Details'.",
7.07,AMI used (with baseline configuration),,,,,"Go to EC2 service > Instances > Select an instance > Under 'Details' tab, find 'AMI ID'.",
7.08,Security group assignments,,,,,"Go to EC2 service > Instances > Select an instance > Under 'Security' tab, view 'Security groups'.",
7.09,IAM roles attached to instances,,,,,"Go to EC2 service > Instances > Select an instance > Under 'Security' tab, view 'IAM role'.",
8. Database Infrastructure,,,,,,,
RDS (PostgreSQL),,,,,,,
8.01,Database instance details,,,,,Go to RDS service > Databases > Select the relevant DB instance > View the 'Configuration' tab.,
8.02,Engine version,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Configuration' tab, find 'Engine version'.",
8.03,Parameter group (configuration baseline),,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Configuration' tab, find 'Parameter group' > Click on the parameter group to view its details and custom parameters.",
8.04,Option group settings,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Configuration' tab, find 'Option group' > Click on the option group to view its settings.",
8.05,Backup window and retention,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Maintenance & backups' tab, view 'Backup window' and 'Backup retention period'.",
8.06,Maintenance window,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Maintenance & backups' tab, view 'Maintenance window'.",
8.07,Enhanced monitoring enabled,,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Monitoring' tab, view 'Enhanced Monitoring' status.",
8.08,Performance Insights (if enabled),,,,,"Go to RDS service > Databases > Select the relevant DB instance > Under 'Monitoring' tab, view 'Performance Insights' status and dashboard.",
8.09,Connection encryption enforcement,,,,,"Go to RDS service \> Parameter groups \> Select the relevant parameter group \> Search for parameters related to SSL/TLS (e.g., `rds.force_ssl`).",
9. Configuration Management Evidence,,,,,,,
AWS Config (if enabled),,,,,,,
9.01,Configuration compliance rules,,,,,Go to AWS Config service > Rules > View the list of active rules and their compliance status.,
9.02,Resource configuration history,,,,,Go to AWS Config service > Resources > Select a resource > View its 'Timeline' or 'Configuration history'.,
9.03,Compliance dashboard,,,,,Go to AWS Config service > Dashboard > View the overall compliance status.,
9.04,Configuration snapshots,,,,,Go to AWS Config service > Settings > View 'Configuration recorder' status and 'Delivery methods' for snapshots.,
Systems Manager (if used),,,,,,,
9.05,Parameter Store for configuration items,,,,,Go to Systems Manager service > Parameter Store > View the list of stored parameters.,
9.06,Patch compliance status,,,,,"Go to Systems Manager service > Patch Manager > Under 'Reporting' tab, view 'Compliance reports'.",
9.07,Inventory of managed instances,,,,,Go to Systems Manager service > Inventory > View the list of managed instances.,
10. Access Management,,,,,,,
IAM,,,,,,,
10.01,User accounts with MFA status,,,,,"Go to IAM service > Users > View the list of users, checking the 'MFA' column.",
10.02,Service roles and their permissions,,,,,"Go to IAM service > Roles > Select relevant service roles (e.g., EC2, ECS) > Under 'Permissions' tab, view attached policies.",
10.03,Policy documents for key roles,,,,,"Go to IAM service > Roles > Select a key role > Under 'Permissions' tab, select an attached policy > Click 'JSON' to view the policy document.",
10.04,Access key age and rotation status,,,,,Go to IAM service > Users > Select a user > Under 'Security credentials' tab > View 'Access keys' and their 'Last used' and 'Created' dates.,
10.05,Password policy configuration,,,,,Go to IAM service > Account settings > Scroll down to 'Password policy'.,
11. Recovery Time/Point Objectives Evidence,,,,,,,
Demonstrate,,,,,,,
11.01,RTO target: 2 hours (24 hours mentioned in ISCP),,,,,"(This is typically from a DR plan document, not an AWS console screenshot. If a document is in AWS, it would be in S3 or a similar storage.)",
11.02,RPO target: 30 minutes (22 hours referenced in backup link),,,,,"(This is typically from a DR plan document, not an AWS console screenshot. If a document is in AWS, it would be in S3 or a similar storage.)",
11.03,Show the most recent backup timestamp to calculate actual RPO,,,,,Go to RDS service > Snapshots OR AWS Backup service > Protected resources > View the 'Creation time' or 'Recovery point created' for the most recent backup.,
11.04,Automated backup scheduling to meet RTO/RPO requirements,,,,,"Go to AWS Backup service > Backup plans > Select the relevant plan > View the 'Backup rules' showing frequency. OR Go to RDS service > Databases > Select instance > Under 'Maintenance & backups' tab, view 'Backup window' and 'Backup retention period'.",
12. DynamoDB (If applicable),,,,,,,
Database Configuration,,,,,,,
12.01,Point-in-Time Recovery (PITR) Status,,,,,"Go to DynamoDB service > Tables > Select the relevant table > Under 'Backups' tab, verify 'Point-in-Time recovery' is Enabled.",RPO and protection against accidental deletes/corruption.
12.02,Global Tables Configuration,,,,,"Go to DynamoDB service > Tables > Select the table > Under 'Global tables' tab, view Replicas and their regions.",Cross-region data replication for regional disaster and Multi-site Active/Active strategy.
12.03,Backup and Restore Test Evidence,,,,,"View recent AWS Backup job history (if used) or logs/reports of a recent, successful PITR Restore test.",Verifies the ability to recover data to a point in time.
12.04,Table Encryption Status,,,,,"Go to DynamoDB service > Tables > Select the table > Under 'Additional settings', verify Encryption status.",Data at rest security.
13. Fargate (If applicable),,,,,,,
ECS/EKS Configuration,,,,,,,
13.01,Service Multi-AZ Configuration,,,,,"Go to ECS service > Clusters > Select the cluster > Under 'Services' tab, select the relevant service > Under 'Configuration', verify the service is configured to run tasks across multiple Availability Zones (min. 3 for best practice).",
13.02,Task Definition Repository Mapping,,,,,"Go to ECS service > Task Definitions > Select the relevant definition > View the container image URI to confirm the source registry (e.g., ECR).",
13.03,Load Balancer (ALB/NLB) AZ Distribution,,,,,"Go to EC2 service > Load Balancers > Select the relevant Load Balancer > Under 'Description' tab, verify it is configured for Multi-AZ subnets.",
13.04,Container Image Replication (ECR),,,,,Go to ECR service > Repositories > Select relevant repository > View Replication settings to see if the image is replicated to the DR region.,
14. OpenSearch (If applicable),,,,,,,
Configuration,,,,,,,
14.01,Domain Multi-AZ Configuration,,,,,"Go to OpenSearch service > Domains > Select the domain > Under 'Cluster configuration' tab, verify Zone awareness is enabled.",
14.02,Automated Snapshot Configuration,,,,,"Go to OpenSearch service > Domains > Select the domain > Under 'Automated snapshot settings' tab, view the schedule and retention period.",
14.03,Manual Snapshot Repository in DR Region,,,,,View the configuration for a Manual Snapshot Repository in OpenSearch that points to an S3 bucket in a different AWS Region.,
14.04,Index Sharding and Replication,,,,,Connect to the OpenSearch Dashboards (or API) > View the number of primary shards and replica shards per index.,
15. Lambda (If applicable),,,,,,,
Serverless Compute Deployment,,,,,,,
15.01,Lambda Code Replication,,,,,"View the source code repository (e.g., CodeCommit/GitHub) to confirm it's available for deployment in the DR region, or check if the deployment package is in an S3 bucket replicated to the DR region.",
15.02,Environment Variables/Configuration,,,,,"Go to Lambda service > Select the function > Under 'Configuration' tab, view Environment variables, especially those referencing region-specific resources (e.g., DynamoDB tables, OpenSearch endpoints).",
15.03,VPC Configuration (if applicable),,,,,"Go to Lambda service > Select the function > Under 'Configuration' > 'VPC', view the assigned subnets and security groups.",
15.04,Dead-Letter Queue (DLQ) Configuration,,,,,"Go to Lambda service > Select the function > Under 'Configuration' > 'Asynchronous invocation', verify a Dead-Letter Queue (SQS/SNS) is configured.",
1X. Change Management Evidence,,,,,,,
Change Tracking,,,,,,,
,Recent changes tracked in AWS (if using AWS Config),,,,,Go to AWS Config service > Resources > Select a resource > View its 'Timeline' or 'Configuration history'.,
,CloudTrail logs showing who made configuration changes,,,,,"Go to CloudTrail service > Event history > Filter by 'Event name' (e.g., 'ModifyDBInstance') or 'User name' to see configuration changes.",
,Terraform state files/configuration (if accessible through AWS),,,,,Go to S3 service > Buckets > Select the S3 bucket storing Terraform state files > View object versions if versioning is enabled.,
Documentation to Request,,,,,,,
,Screenshots of all the above configurations,,,,,(Requires multiple screenshots as per the above instructions.),
,Export of security group rules,,,,,Go to EC2 service > Security Groups > Select security groups > Use 'Actions' > 'Export to CSV' or take detailed screenshots of inbound/outbound rules.,
,Export of IAM policies for key roles,,,,,"Go to IAM service > Roles > Select a key role > Under 'Permissions' tab, select an attached policy > Copy the 'JSON' policy document.",
,Backup verification logs showing successful backups,,,,,Go to AWS Backup service > Jobs > View 'Backup jobs' with 'Status' as 'Completed'. OR Go to RDS service > Events > Filter for backup-related events.,
,CloudTrail logs for recent 30-60 days,,,,,Go to CloudTrail service > Event history > Adjust the time range filter to the last 30-60 days.,
,Disaster Recovery test results (if any tests were performed),,,,,"(This would be an external document, not an AWS console screenshot.)",
,Runbook/SOP for failover procedures currently in use,,,,,"(This would be an external document, not an AWS console screenshot.)",
Key Questions to Ask During the Call,,,,,,,
,Can you walk us through the actual backup restoration process?,,,,,"(Live demonstration in AWS console, e.g., RDS > Snapshots > Select snapshot > 'Actions' > 'Restore snapshot'.)",
,"When was the last DR test conducted, and what were the results?",,,,,(Discussion point.),
,How do you verify backup integrity?,,,,,"(Discussion point, potentially showing logs/tools.)",
,What is the current replication lag between primary and secondary AZ?,,,,,(Live demonstration in RDS > Monitoring tab or Grafana.),
,Can you demonstrate the failover process (or show documentation of past tests)?,,,,,(Live demonstration or review of test reports/documentation.),
,What monitoring alerts are in place to detect AZ failures?,,,,,(Live demonstration in CloudWatch > Alarms.),
,Who has access to perform DR failover operations?,,,,,"(Discussion point, potentially showing IAM policies for specific roles.)",
,How are configuration changes tracked and approved?,,,,,"(Discussion point, potentially showing AWS Config timeline or CI/CD pipeline history.)",